Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2019-05-23,1.581,8.83,1.64,-0.1,0.282,1.58,-0.058,3.88,2.31,7.24,8809.530273
2019-05-24,1.522,8.87,1.61,-0.12,0.282,1.56,-0.068,3.87,2.32,7.23,8776.769531
2019-05-28,1.537,8.65,1.57,-0.16,0.257,1.52,-0.066,3.86,2.26,7.15,9035.69043
2019-05-29,1.485,8.51,1.57,-0.17,0.23,1.58,-0.089,3.86,2.25,7.13,9010.360352
2019-05-30,1.534,8.44,1.55,-0.16,0.239,1.66,-0.077,3.86,2.22,7.13,8943.349609
2019-05-31,1.459,8.47,1.49,-0.21,0.211,1.59,-0.092,3.84,2.14,7.03,8922.69043
2019-06-03,1.509,8.26,1.42,-0.21,0.203,1.51,-0.088,3.81,2.07,6.98,8856.990234
2019-06-04,1.504,8.22,1.47,-0.21,0.189,1.54,-0.097,3.79,2.12,7.02,8748.269531
2019-06-11,1.454,8.0,1.53,-0.22,0.113,1.76,-0.107,3.75,2.15,7.04,9037.669922
2019-06-12,1.429,8.03,1.5,-0.24,0.117,1.73,-0.107,3.76,2.13,7.01,8954.719727
2019-06-13,1.405,7.88,1.45,-0.24,0.112,1.67,-0.108,3.76,2.1,7.01,8951.610352
2019-06-14,1.374,7.91,1.44,-0.26,0.094,1.62,-0.122,3.75,2.09,6.92,8810.129883
2019-06-17,1.393,7.95,1.44,-0.25,0.106,1.64,-0.122,3.75,2.09,6.93,8780.870117
2019-06-18,1.372,7.97,1.42,-0.3,0.006,1.6,-0.122,3.74,2.06,6.81,8804.320313
2019-06-19,1.342,7.84,1.44,-0.3,0.052,1.6,-0.133,3.73,2.03,6.84,8925.730469
2019-06-21,1.283,7.68,1.48,-0.3,0.051,1.59,-0.162,3.68,2.07,6.86,9214.269531
2019-06-24,1.299,7.69,1.46,-0.31,0.024,1.64,-0.146,3.69,2.02,6.85,9212.120117
2019-06-25,1.285,7.72,1.44,-0.31,-0.005,1.64,-0.147,3.68,2.0,6.88,9118.099609
2019-06-26,1.282,7.63,1.5,-0.32,0.017,1.66,-0.14,3.68,2.05,6.93,9122.429688
2019-06-27,1.35,7.59,1.47,-0.3,0.003,1.69,-0.134,3.67,2.01,6.9,9239.480469
2019-06-28,1.325,7.48,1.46,-0.32,-0.004,1.68,-0.156,3.66,2.0,6.88,9178.30957
2019-07-02,1.337,7.35,1.47,-0.36,-0.054,1.71,-0.135,3.65,1.98,6.85,9545.519531
2019-07-03,1.282,7.34,1.45,-0.39,-0.099,1.64,-0.16,3.65,1.96,6.83,9419.839844
2019-07-05,1.286,7.4,1.57,-0.39,-0.083,1.63,-0.17,3.64,2.04,6.7,9443.219727
2019-07-08,1.326,7.3,1.59,-0.37,-0.075,1.66,-0.154,3.65,2.05,6.56,9186.290039
