Date,10years
2009-09-18,12.88 
2009-09-21,12.93 
2009-09-22,12.85 
2009-09-23,12.89 
2009-09-24,13.01 
2009-09-25,12.90 
2009-09-28,12.78 
2009-09-29,12.78 
2009-09-30,12.81 
2009-10-01,12.02 
2009-10-02,11.91 
2009-10-05,11.87 
2009-10-06,12.64 
2009-10-07,12.63 
2009-10-08,12.70 
2009-10-09,12.72 
2009-10-13,12.75 
2009-10-14,12.67 
2009-10-15,11.99 
2009-10-16,12.08 
2009-10-19,12.39 
2009-10-20,12.28 
2009-10-21,13.02 
2009-10-22,12.42 
2009-10-23,12.41 
2009-10-26,13.16 
2009-10-27,12.29 
2009-10-28,12.38 
2009-10-29,13.18 
2009-10-30,13.26 
2009-11-03,13.22 
2009-11-04,12.38 
2009-11-05,12.32 
2009-11-06,12.29 
2009-11-09,12.27 
2009-11-10,12.29 
2009-11-11,13.13 
2009-11-12,12.38 
2009-11-13,13.15 
2009-11-16,12.31 
2009-11-17,12.31 
2009-11-18,12.34 
2009-11-19,13.14 
2009-11-23,12.33 
2009-11-24,12.33 
2009-11-25,13.11 
2009-11-26,12.40 
2009-11-27,12.43 
2009-11-30,12.51 
2009-12-01,13.32 
2009-12-02,12.47 
2009-12-03,13.28 
2009-12-04,12.44 
2009-12-07,13.22 
2009-12-08,12.44 
2009-12-09,13.37 
2009-12-10,
2009-12-11,
2009-12-14,
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,
2009-12-21,
2009-12-22,
2009-12-23,
2009-12-28,
2009-12-29,
2009-12-30,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-17,
2010-02-18,
2010-02-19,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-04,12.79 
2010-06-07,12.41 
2010-06-08,12.43 
2010-06-09,12.51 
2010-06-10,12.57 
2010-06-11,12.63 
2010-06-14,12.79 
2010-06-15,12.76 
2010-06-16,12.57 
2010-06-17,12.46 
2010-06-18,12.43 
2010-06-21,12.35 
2010-06-22,12.45 
2010-06-23,12.47 
2010-06-24,12.42 
2010-06-25,12.79 
2010-06-28,12.79 
2010-06-29,12.79 
2010-06-30,12.79 
2010-07-01,12.28 
2010-07-02,12.25 
2010-07-05,12.24 
2010-07-06,12.24 
2010-07-07,12.23 
2010-07-08,12.29 
2010-07-12,12.27 
2010-07-13,12.22 
2010-07-14,12.27 
2010-07-15,12.28 
2010-07-16,12.25 
2010-07-19,12.30 
2010-07-20,12.28 
2010-07-21,12.08 
2010-07-22,12.13 
2010-07-23,12.15 
2010-07-26,12.08 
2010-07-27,12.05 
2010-07-28,12.12 
2010-07-29,12.12 
2010-07-30,12.01 
2010-08-02,11.95 
2010-08-03,12.00 
2010-08-04,12.07 
2010-08-05,11.99 
2010-08-06,12.02 
2010-08-09,11.89 
2010-08-10,11.82 
2010-08-11,11.79 
2010-08-12,11.82 
2010-08-13,11.84 
2010-08-16,11.70 
2010-08-17,11.67 
2010-08-18,11.54 
2010-08-19,11.51 
2010-08-20,11.49 
2010-08-23,11.31 
2010-08-24,11.26 
2010-08-25,11.30 
2010-08-26,11.44 
2010-08-27,
2010-08-30,11.57 
2010-08-31,11.51 
2010-09-01,11.68 
2010-09-02,11.73 
2010-09-03,11.51 
2010-09-06,11.60 
2010-09-08,11.65 
2010-09-09,11.70 
2010-09-10,11.72 
2010-09-13,11.76 
2010-09-14,11.73 
2010-09-15,11.78 
2010-09-16,11.96 
2010-09-17,11.84 
2010-09-20,11.91 
2010-09-21,11.85 
2010-09-22,11.91 
2010-09-23,11.75 
2010-09-24,11.71 
2010-09-27,11.80 
2010-09-28,11.93 
2010-09-29,11.92 
2010-09-30,12.02 
2010-10-01,11.98 
2010-10-04,11.94 
2010-10-05,11.89 
2010-10-06,11.94 
2010-10-07,11.84 
2010-10-08,11.84 
2010-10-11,11.83 
2010-10-13,11.77 
2010-10-14,11.59 
2010-10-15,11.48 
2010-10-18,11.66 
2010-10-19,11.95 
2010-10-20,11.98 
2010-10-21,12.13 
2010-10-22,12.17 
2010-10-25,12.25 
2010-10-26,12.13 
2010-10-27,12.27 
2010-10-28,12.17 
2010-10-29,11.92 
2010-11-01,11.85 
2010-11-03,11.89 
2010-11-04,11.93 
2010-11-05,12.07 
2010-11-08,12.19 
2010-11-09,12.20 
2010-11-10,12.22 
2010-11-11,12.18 
2010-11-12,12.24 
2010-11-16,12.41 
2010-11-17,12.42 
2010-11-18,12.46 
2010-11-19,12.44 
2010-11-22,12.76 
2010-11-23,12.66 
2010-11-24,12.60 
2010-11-25,12.40 
2010-11-26,12.44 
2010-11-29,12.44 
2010-11-30,12.61 
2010-12-01,12.38 
2010-12-02,12.30 
2010-12-03,12.42 
2010-12-06,12.44 
2010-12-07,12.38 
2010-12-08,12.39 
2010-12-09,12.44 
2010-12-10,12.41 
2010-12-13,12.45 
2010-12-14,12.49 
2010-12-15,12.57 
2010-12-16,12.46 
2010-12-17,12.46 
2010-12-20,12.45 
2010-12-21,12.47 
2010-12-22,12.31 
2010-12-23,12.32 
2010-12-27,12.33 
2010-12-28,12.29 
2010-12-29,12.36 
2010-12-30,12.44 
2011-01-03,12.44 
2011-01-04,12.05 
2011-01-05,12.10 
2011-01-06,12.14 
2011-01-07,12.37 
2011-01-10,12.44 
2011-01-11,12.39 
2011-01-12,12.50 
2011-01-13,12.44 
2011-01-14,12.56 
2011-01-17,12.65 
2011-01-18,12.59 
2011-01-19,12.44 
2011-01-20,12.62 
2011-01-21,12.60 
2011-01-24,12.65 
2011-01-26,12.83 
2011-01-27,12.79 
2011-01-28,12.82 
2011-01-31,12.44 
2011-02-01,12.92 
2011-02-02,12.83 
2011-02-03,12.84 
2011-02-04,12.98 
2011-02-07,12.96 
2011-02-08,12.72 
2011-02-09,12.71 
2011-02-10,12.78 
2011-02-11,12.81 
2011-02-14,12.83 
2011-02-15,12.78 
2011-02-16,12.70 
2011-02-17,12.54 
2011-02-18,12.51 
2011-02-21,12.56 
2011-02-22,12.50 
2011-02-23,12.44 
2011-02-25,12.46 
2011-02-28,12.49 
2011-03-02,12.50 
2011-03-03,12.58 
2011-03-04,12.67 
2011-03-09,12.44 
2011-03-10,12.63 
2011-03-11,12.63 
2011-03-14,12.57 
2011-03-15,12.66 
2011-03-16,12.44 
2011-03-17,12.75 
2011-03-18,12.80 
2011-03-21,12.82 
2011-03-22,12.44 
2011-03-23,12.44 
2011-03-24,12.44 
2011-03-25,12.44 
2011-03-28,12.81 
2011-03-29,12.86 
2011-03-30,12.94 
2011-03-31,12.44 
2011-04-01,12.40 
2011-04-04,12.41 
2011-04-05,12.41 
2011-04-06,12.41 
2011-04-07,12.40 
2011-04-08,12.40 
2011-04-11,12.41 
2011-04-12,12.41 
2011-04-13,12.40 
2011-04-14,12.40 
2011-04-15,12.40 
2011-04-18,12.41 
2011-04-19,12.41 
2011-04-20,12.40 
2011-04-25,12.42 
2011-04-26,12.43 
2011-04-27,12.42 
2011-04-28,12.42 
2011-04-29,12.41 
2011-05-02,12.65 
2011-05-03,12.44 
2011-05-04,12.44 
2011-05-05,12.44 
2011-05-06,12.44 
2011-05-09,12.52 
2011-05-10,12.52 
2011-05-11,12.50 
